:Product: Daily Geomagnetic Data          DGD.txt
:Issued: 0330 UT 26 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#               Last 30 Days Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 03 28    22  5 5 3 3 3 2 3 3    38  5 5 4 6 5 4 3 2    28  5 5 3 4 3 3 3 3
2017 03 29    17  3 3 4 3 4 3 1 3    52  4 4 7 6 6 5 2 2    21  4 4 4 4 3 4 2 3
2017 03 30    18  3 4 4 2 2 3 3 4    29  3 4 4 5 5 4 3 4    23  3 5 3 3 3 4 4 5
2017 03 31    21  4 4 4 3 4 3 3 3    64  4 4 7 7 6 6 2 2    28  5 5 5 4 4 3 3 4
2017 04 01    15  3 2 4 2 3 4 3 2    43  4 3 6 6 5 6 1 2    16  3 3 3 3 2 4 3 3
2017 04 02     6  2 2 2 1 2 2 2 1    12  2 1 4 1 4 4 1 0     8  3 2 2 2 3 2 1 1
2017 04 03     4  1 1 0 1 3 1 1 1     5  0 1 0 3 3 2 0 0     4  1 1 0 2 2 1 0 1
2017 04 04    17  2 3 5 4 3 1 1 3    28  2 4 6 6 3 1 1 2    20  2 4 5 5 3 1 1 3
2017 04 05    10  1 1 3 1 2 3 3 3     5  1 2 3 1 1 1 1 1    10  2 1 3 2 1 2 2 4
2017 04 06     5  1 0 1 1 2 2 2 2    20  1 1 1 3 5 6 2 1     7  2 1 1 2 2 3 2 1
2017 04 07     9  2 2 2 2 2 1 3 3     8  1 2 4 3 1 0 1 2    10  3 2 2 2 1 1 3 4
2017 04 08    14  3 3 3 2 3 2 2 4    20  3 3 5 5 2 2 2 3    16  4 3 4 2 2 2 3 4
2017 04 09    16  4 5 3 3 2 2 1 1    31  4 5 5 5 5 4 0 0    18  4 5 4 3 3 2 1 1
2017 04 10     5  2 1 1 1 2 1 1 2     4  2 0 0 0 1 2 3 1     5  2 1 1 1 2 1 1 2
2017 04 11    10  1 1 3 3 3 2 3 2    17  1 0 3 6 3 2 3 1    12  1 2 3 4 3 2 3 2
2017 04 12     6  3 2 2 1 2 1 1 0    10  2 3 4 4 1 0 0 0     6  3 3 2 2 1 0 0 0
2017 04 13     4  0 1 1 1 2 1 2 1     2  0 1 0 0 1 1 1 1     5  1 2 1 0 1 1 2 2
2017 04 14    10  3 3 3 2 2 2 2 2    25  2 3 4 5 5 5 2 1    14  3 4 3 2 3 2 3 2
2017 04 15     5  2 2 2 1 2 1 1 0     4  2 3 2 0 1 1 0 0     7  3 2 2 1 1 1 1 1
2017 04 16     4  1 1 2 2 1 1 1 1     5  1 0 2 4 0 0 0 0     4  1 1 2 2 0 1 1 1
2017 04 17     3  0 0 2 1 2 1 1 1     3  0 0 3 1 1 1 0 0     4  0 1 2 1 1 1 0 1
2017 04 18     6  2 0 1 1 2 1 2 3     7  1 0 0 3 4 1 1 2     7  2 1 1 1 2 1 1 3
2017 04 19    12  3 4 3 2 1 1 3 2    20  3 5 5 4 1 2 2 2    15  3 5 3 2 0 2 3 3
2017 04 20    20  4 5 4 4 2 2 2 2    44  4 6 5 6 6 3 3 2    30  5 6 4 5 3 3 3 3
2017 04 21    11  0 2 1 1 2 3 4 4    19  1 2 2 0 5 5 3 4    19  1 2 1 1 2 4 5 5
2017 04 22    37  6 5 4 4 5 4 3 4    86  4 6 7 8 6 6 3 4    54  5 6 5 5 6 5 4 6
2017 04 23    24  4 4 4 4 4 3 3 4    71  4 3 8 6 6 6 4 3    41  4 4 6 5 5 5 4 4
2017 04 24    19  4 4 4 4 2 2 3 3    36  3 3 6 6 4 4 4 3    20  4 4 4 4 2 3 4 3
2017 04 25    10  3 3 3 2 2 1 2 2    28  3 2 5 6 5 3 2 1    12  4 3 3 3 3 2 3 2
2017 04 26    -1  3-1-1-1-1-1-1-1    -1  2-1-1-1-1-1-1-1    12  3-1-1-1-1-1-1-1
